Variant,RadialStiffness,LateralStiffness,TangentialStiffness,TorsionalStiffness,CorneringStiffness,SelfAligningTorque
IP 0.75 + BA 1.1 + CS 0 + EPI 1.1 + Mat 0,836.00,764.00,1294.00,136.00,81.00,71.00
IP 0.75 + BA 1.1 + CS 0 + EPI 1.1 + Mat 0.9,838.00,763.00,1283.00,148.00,85.00,85.00
IP 0.75 + BA 1.1 + CS 0 + EPI 1.1 + Mat 1.1,829.00,770.00,1297.00,147.00,115.00,70.00
IP 0.75 + BA 1.1 + CS 0.9 + EPI 0 + Mat 0,832.00,765.00,1297.00,144.00,112.00,85.00
IP 0.75 + BA 1.1 + CS 0.9 + EPI 0 + Mat 0.9,833.00,775.00,1296.00,133.00,90.00,78.00
IP 0.75 + BA 1.1 + CS 0.9 + EPI 0 + Mat 1.1,824.00,773.00,1286.00,152.00,110.00,83.00
IP 0.75 + BA 1.1 + CS 0.9 + EPI 0.9 + Mat 0,838.00,764.00,1295.00,160.00,90.00,75.00
IP 0.75 + BA 1.1 + CS 0.9 + EPI 0.9 + Mat 0.9,838.00,770.00,1285.00,147.00,118.00,83.00
IP 0.75 + BA 1.1 + CS 0.9 + EPI 0.9 + Mat 1.1,826.00,769.00,1291.00,158.00,113.00,74.00
IP 0.75 + BA 1.1 + CS 0.9 + EPI 1.1 + Mat 0,825.00,774.00,1282.00,154.00,95.00,79.00
IP 0.75 + BA 1.1 + CS 0.9 + EPI 1.1 + Mat 0.9,831.00,772.00,1289.00,136.00,95.00,75.00
IP 0.75 + BA 1.1 + CS 0.9 + EPI 1.1 + Mat 1.1,826.00,758.00,1290.00,137.00,83.00,81.00
IP 0.75 + BA 1.1 + CS 1.1 + EPI 0 + Mat 0,834.00,757.00,1298.00,131.00,118.00,82.00
IP 0.75 + BA 1.1 + CS 1.1 + EPI 0 + Mat 0.9,837.00,766.00,1293.00,141.00,107.00,80.00
IP 0.75 + BA 1.1 + CS 1.1 + EPI 0 + Mat 1.1,833.00,779.00,1298.00,154.00,93.00,74.00
IP 0.75 + BA 1.1 + CS 1.1 + EPI 0.9 + Mat 0,828.00,777.00,1282.00,149.00,116.00,82.00
